Date,Open,High,Low,Close,Volume,Adj Close
2007-07-23,709.90,717.02,709.90,714.76,3102700000,714.76
2007-07-20,718.11,718.11,707.56,709.92,3745780000,709.92
2007-07-19,714.89,719.37,714.89,718.11,3251450000,718.11
2007-07-18,717.10,717.10,708.92,714.92,3609220000,714.92
2007-07-17,717.01,720.26,716.45,717.22,3007140000,717.22
2007-07-16,717.17,719.59,715.29,717.01,2704110000,717.01
2007-07-13,714.74,718.45,714.07,717.17,2801120000,717.17
2007-07-12,700.60,714.98,700.60,714.74,3489600000,714.74
2007-07-11,695.71,700.86,694.54,700.60,3082920000,700.60
2007-07-10,705.58,705.58,696.05,696.21,3244280000,696.21
2007-07-09,704.50,706.61,703.30,705.58,2715330000,705.58
2007-07-06,702.52,705.35,700.72,704.50,2441520000,704.50
2007-07-05,702.93,703.39,699.29,702.82,2622950000,702.82
2007-07-03,699.28,703.24,699.28,702.93,1560790000,702.93
2007-07-02,693.81,699.55,693.81,699.49,2648990000,699.49
2007-06-29,693.85,699.15,687.83,692.77,3165410000,692.77
2007-06-28,693.94,697.94,692.40,693.86,3006710000,693.86
2007-06-27,687.68,694.13,683.56,693.94,3398150000,693.94
2007-06-26,689.69,694.39,686.51,687.78,3398530000,687.78
2007-06-25,690.77,697.40,687.35,689.72,3287250000,689.72
2007-06-22,700.78,700.78,690.18,690.77,4284320000,690.77
2007-06-21,696.51,701.12,693.29,700.78,3161110000,700.78
2007-06-20,705.79,707.76,696.48,696.78,3286900000,696.78
2007-06-19,704.18,707.13,702.44,705.79,2873590000,705.79
2007-06-18,704.53,705.93,703.35,704.18,2480240000,704.18
2007-06-15,699.82,706.93,699.82,704.53,3406030000,704.53
2007-06-14,696.03,701.15,695.83,699.82,2813630000,699.82
2007-06-13,685.98,696.13,685.98,696.06,3077930000,696.06
2007-06-12,693.73,694.78,686.14,686.16,3056200000,686.16
2007-06-11,693.09,696.89,691.33,693.73,2525280000,693.73
2007-06-08,685.33,693.29,684.25,693.11,2993460000,693.11
2007-06-07,696.56,696.56,685.03,685.33,3538470000,685.33
